"","Log2FC_estimate","SE","pval","CI_lb","CI_ub","Number_Of_Comparisons","Number_of_ Contrasts","Number_of_Coefficients","tau2_ResidualHeterogeneity","SE_tau2_ResidualHeterogeneity","QE_CochransQ_Teststat","QEp_CochransQ_pval","I2_PercentVar_TrueHeterogeneity","H2_Ratio_EffectHetero_overSamplVar","PubBias_Egger_Zstat","PubBias_Egger_pval","PubBias_Egger_DF","Leave1Out_Min_Log2FC","Leave1Out_Max_Log2FC","Leave1Out_Min_Pval","Leave1Out_Max_Pval","FDR","QEp_FDR","Egger_FDR","DB.Class.Key","Mouse_Common.Organism.Name","Mouse_NCBI.Taxon.ID","Mouse_Symbol","Mouse_EntrezGene.ID","Mouse_Mouse.MGI.ID","Mouse_HGNC.ID","Mouse_OMIM.Gene.ID","Mouse_Genetic.Location","Mouse_Genome.Coordinates..mouse..GRCm39.human..GRCh38.","Mouse_Name","Mouse_Synonyms","Mouse_ENSEMBLGene.ID","Ensembl_Entrez","Rat_Common.Organism.Name","Rat_NCBI.Taxon.ID","Rat_Symbol","Rat_EntrezGene.ID","Rat_Mouse.MGI.ID","Rat_HGNC.ID","Rat_OMIM.Gene.ID","Rat_Genetic.Location","Rat_Genome.Coordinates..mouse..GRCm39.human..GRCh38.","Rat_Name","Rat_Synonyms","Rat_Ensembl","Rat_DBSymbol","Rat_DBName","MouseRat_GeneSymbol"
"Apoa1_Apoa1",-0.426673154447999,0.122391764436499,0.000490069485309777,-0.666556604747847,-0.186789704148152,8,9,1,0.0304274585437065,0.0633890347177152,10.3958727755129,0.238332396609264,23.1843200867474,1.30181754705458,1.15794815229177,0.246885195457636,NA,-0.490324707938669,-0.367000463688049,1.04116496317559e-05,0.00730933440957163,0.126701241456914,1,0.96613314063342,"51425281","mouse, laboratory","10090","Apoa1","11806","MGI:88049","","","Chr9  cM","Chr9:46139928-46141767(+)","apolipoprotein A-I","Brp-14|Ltw-1|Lvtw-1|Sep-1|Sep-2|Sep2","ENSMUSG00000032083","ENSMUSG00000032083_11806","rat","10116","Apoa1","25081","","","","Chr8 q22","","apolipoprotein A1","apoA-I","ENSRNOG00000045679","Apoa1","apolipoprotein A1","Apoa1_Apoa1"
"Des_Des",-0.365498763100219,0.0935712753012678,9.37976882110611e-05,-0.548895092678186,-0.182102433522252,9,10,1,0,0.0373075118259393,4.659008952114,0.862963217537491,0,1,0.618618904751283,0.536167444862125,NA,-0.395941499626535,-0.301718862387015,5.00019575872902e-05,0.00376016673972465,0.0490492429574804,1,1,"51426103","mouse, laboratory","10090","Des","13346","MGI:94885","","","Chr1  cM","Chr1:75336973-75345223(+)","desmin","","ENSMUSG00000026208","ENSMUSG00000026208_13346","rat","10116","Des","64362","","","","Chr9 q33","","desmin","","ENSRNOG00000019810","Des","desmin","Des_Des"
"Gja4_Gja4",-0.341145611586561,0.0862092718736621,7.58397642212861e-05,-0.510112679592361,-0.172178543580762,9,10,1,0,0.0306219780599033,6.97360627815602,0.639867492710646,0,1,1.73210550051477,0.0832547800241934,NA,-0.370374537364641,-0.263616281522487,3.82110914850664e-05,0.00589436118213215,0.044325109795936,1,0.807858889800829,"51427125","mouse, laboratory","10090","Gja4","14612","MGI:95715","","","Chr4  cM","Chr4:127205214-127207832(-)","gap junction protein, alpha 4","Gja-4","ENSMUSG00000050234","ENSMUSG00000050234_14612","rat","10116","Gja4","25655","","","","Chr5 q36","","gap junction protein, alpha 4","CXN37|Cxnh1","ENSRNOG00000014357","Gja4","gap junction protein, alpha 4","Gja4_Gja4"
"Ifi27l2a_Ifi27l2a",-0.586536792628899,0.21196738521456,0.00565558968012207,-1.00198523354656,-0.171088351711234,9,10,1,0.160532633686501,0.201950195285675,13.8271027122426,0.128609807916269,38.1395199491985,1.61654096311372,0.00184841631813355,0.998525177997649,NA,-0.765309581975075,-0.466670655478581,5.88779145996631e-05,0.0250466526422373,0.297517087436666,0.94022998066508,1,"51429849","mouse, laboratory","10090","Ifi27l2a","76933","MGI:1924183","","","Chr12  cM","Chr12:103408426-103409939(-)","interferon, alpha-inducible protein 27 like 2A","2310061N23Rik|Ifi27","ENSMUSG00000079017","ENSMUSG00000079017_76933","rat","10116","Ifi27l2a","299269","","","","Chr6 q32","","interferon, alpha-inducible protein 27 like 2A","Ifi27l2b|Ifi27l2b|isg12(b)|isg12(b)","ENSRNOG00000026605","Ifi27l2a","interferon, alpha-inducible protein 27 like 2A","Ifi27l2a_Ifi27l2a"
"Igbp1b_Igbp1b",-0.33966916877398,0.0861394713453198,8.03859562041164e-05,-0.508499430258127,-0.170838907289833,8,9,1,3.34446625924889e-07,0.0291265529935984,9.4850035294712,0.303045934238075,0.000472390323063833,1.00000472392555,1.4212048524149,0.155257214441202,NA,-0.370367004151557,-0.280757042818152,2.49904344997181e-05,0.00299488186108762,0.044325109795936,1,0.91303109761696,"51429729","mouse, laboratory","10090","Igbp1b","50540","MGI:1354380","","","Chr6  cM","Chr6:138634087-138635452(-)","immunoglobulin (CD79A) binding protein 1b","alpha4-b","ENSMUSG00000046717","ENSMUSG00000046717_50540","rat","10116","Igbp1b","502919","","","","Chr4 q44","","immunoglobulin (CD79A) binding protein 1b","RGD1560971","ENSRNOG00000076780","Igbp1b","immunoglobulin (CD79A) binding protein 1b","Igbp1b_Igbp1b"
"Oxld1_Oxld1",-0.297725073212842,0.0647865448325725,4.31760529979333e-06,-0.424704367767474,-0.170745778658211,9,10,1,0.00448076479553223,0.0174303091371739,8.50363631009295,0.484293087388373,10.6787341919048,1.11955421920294,0.792768837516972,0.427912515583695,NA,-0.34472753059198,-0.253493113761193,2.01875538499823e-07,0.000185911333021802,0.010160044871297,1,1,"51434786","mouse, laboratory","10090","Oxld1","66431","MGI:1913681","","","Chr11  cM","Chr11:120347432-120348894(-)","oxidoreductase like domain containing 1","1810049H13Rik","ENSMUSG00000039670","ENSMUSG00000039670_66431","rat","10116","Oxld1","103693495","","","","Chr10","","oxidoreductase-like domain containing 1","","ENSRNOG00000047517","Oxld1","oxidoreductase-like domain containing 1","Oxld1_Oxld1"
"F2rl3_F2rl3",-0.541832454718026,0.190500370810109,0.00445148025566723,-0.915206320547366,-0.168458588888687,8,9,1,0,0.128878260940545,2.71229602319692,0.951095991952482,0,1,-0.70799707451273,0.47894707421077,NA,-0.583977252824195,-0.491340090518011,0.00365603766983874,0.0228549691076852,0.272079868960025,1,1,"51441860","mouse, laboratory","10090","F2rl3","14065","MGI:1298207","","","Chr8  cM","Chr8:73488508-73490502(+)","F2R like thrombin or trypsin receptor 3","PAR4","ENSMUSG00000050147","ENSMUSG00000050147_14065","rat","10116","F2rl3","116498","","","","Chr16","","F2R like thrombin or trypsin receptor 3","PAR4","ENSRNOG00000068093","F2rl3","F2R like thrombin or trypsin receptor 3","F2rl3_F2rl3"
"Synpo2l_Synpo2l",-0.490864403709725,0.165792657526319,0.00306928242921432,-0.815812041362493,-0.165916766056957,8,9,1,0,0.104371789044335,3.79953786935168,0.874741718653293,0,1,0.769624030018958,0.441522946413991,NA,-0.530464851415869,-0.381927223917362,0.00193542845236917,0.0462999157526164,0.239772591955469,1,1,"51426738","mouse, laboratory","10090","Synpo2l","68760","MGI:1916010","","","Chr14  cM","Chr14:20709014-20718422(-)","synaptopodin 2-like","1110054M18Rik|Chap","ENSMUSG00000039376","ENSMUSG00000039376_68760","rat","10116","Synpo2l","305675","","","","Chr15 p16","","synaptopodin 2-like","RGD1565434","ENSRNOG00000008949","Synpo2l","synaptopodin 2-like","Synpo2l_Synpo2l"
"Gpr160_Gpr160",-0.341292617158595,0.09290918727611,0.000239344282670191,-0.523391278052657,-0.159193956264532,9,10,1,0.022599704200548,0.0365372281232363,10.4574232980317,0.314737900244522,28.0615072921511,1.3900763865892,0.116756163563875,0.907053282490506,NA,-0.405139708527747,-0.284259758054581,9.79677618391343e-07,0.00340325006695631,0.084543273015198,1,1,"51438463","mouse, laboratory","10090","Gpr160","71862","MGI:1919112","","","Chr3  cM","Chr3:30910099-30951341(+)","G protein-coupled receptor 160","1700025D19Rik","ENSMUSG00000037661","ENSMUSG00000037661_71862","rat","10116","Gpr160","499588","","","","Chr2 q24","","G protein-coupled receptor 160","","ENSRNOG00000009487","Gpr160","G protein-coupled receptor 160","Gpr160_Gpr160"
"Tex38_Tex38",-1.21111984211635,0.538172859712936,0.0244217221041952,-2.26591926461064,-0.156320419622073,8,9,1,2.36467200920628,1.30188216854302,77.0839513759652,1.88496365234033e-13,94.5764347397262,18.4380560021052,-3.0048402065665,0.00265720408591791,NA,-1.4079624098918,-0.797425755227877,0.0141756157913106,0.0711344971798654,0.460773535185521,4.75246460846306e-11,0.230166039810276,"51444883","mouse, laboratory","10090","Tex38","75173","MGI:1922423","","","Chr4  cM","Chr4:115637031-115638215(-)","testis expressed 38","4930544O15Rik","ENSMUSG00000044556","ENSMUSG00000044556_75173","rat","10116","Tex38","690079","","","","Chr5 q35","","testis expressed 38","Atpaf1-as1","ENSRNOG00000010162","Tex38","testis expressed 38","Tex38_Tex38"
"Fam131c_NA",-0.955479649874632,0.408375590543158,0.019298820192293,-1.7558810995045,-0.155078200244768,9,10,1,1.49781434626308,0.784384200955176,158.669467637016,1.40339001863311e-29,93.8312906116185,16.2108463381897,0.587838106651814,0.556640963503441,NA,-1.10074690148986,-0.695344634951281,0.0104537796167735,0.060281583471331,0.425256259999696,8.25602653045036e-27,1,"51437496","mouse, laboratory","10090","Fam131c","277743","MGI:2685539","","","Chr4  cM","Chr4:141095531-141111486(+)","family with sequence similarity 131, member C","LOC277743","ENSMUSG00000006218","ENSMUSG00000006218_277743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fam131c_NA"
"Sapcd2_Sapcd2",-0.347408443240329,0.100631715619407,0.000555879083505481,-0.544642981556844,-0.150173904923814,9,10,1,0,0.0420119922406818,2.32950036137872,0.985122838724223,0,1,0.752846596912258,0.451542102107829,NA,-0.374610768667566,-0.316791763910969,0.00031441925120489,0.00744646979646207,0.126701241456914,1,1,"51425220","mouse, laboratory","10090","Sapcd2","72080","MGI:1919330","","","Chr2  cM","Chr2:25262333-25268225(+)","suppressor APC domain containing 2","2010317E24Rik|6030458L21Rik|ang","ENSMUSG00000026955","ENSMUSG00000026955_72080","rat","10116","Sapcd2","680531","","","","Chr3 p13","","suppressor APC domain containing 2","","ENSRNOG00000013069","Sapcd2","suppressor APC domain containing 2","Sapcd2_Sapcd2"
"Zfp541_Zfp541",-0.339965440318431,0.097565416866473,0.00049308115776425,-0.531190143513355,-0.148740737123507,8,9,1,0,0.0371542662225797,5.12725199556986,0.743892732663061,0,1,0.597428298959818,0.550221464702665,NA,-0.374573824012086,-0.304194153052575,0.000189264026882196,0.00468135956455972,0.126701241456914,1,1,"51435017","mouse, laboratory","10090","Zfp541","666528","MGI:3647699","","","Chr7  cM","Chr7:15795739-15830259(+)","zinc finger protein 541","EG666528","ENSMUSG00000078796","ENSMUSG00000078796_666528","rat","10116","Zfp541","308108","","","","Chr1 q21","","zinc finger protein 541","Znf541","ENSRNOG00000021800","Zfp541","zinc finger protein 541","Zfp541_Zfp541"
"Dnmt3b_Dnmt3b",-0.432892248531692,0.147770518784277,0.00339518800552669,-0.722517143325674,-0.14326735373771,9,10,1,0.0505426428228618,0.0950508363189592,13.4914575804619,0.141599723693892,24.3248891660581,1.32143843461869,0.0411680472640501,0.967161926657038,NA,-0.511909578022966,-0.331118344544777,0.00091581463434622,0.0188446300144919,0.247729583350741,0.970979358345831,1,"51426316","mouse, laboratory","10090","Dnmt3b","13436","MGI:1261819","","","Chr2  cM","Chr2:153491370-153529650(+)","DNA methyltransferase 3B","","ENSMUSG00000027478","ENSMUSG00000027478_13436","rat","10116","Dnmt3b","444985","","","","Chr3 q41","","DNA methyltransferase 3 beta","","ENSRNOG00000010625","Dnmt3b","DNA methyltransferase 3 beta","Dnmt3b_Dnmt3b"
"Ccdc103_Dnaaf19",-0.403654744948025,0.134214063010094,0.00263367705003928,-0.6667094746666,-0.140600015229451,9,10,1,0.0962119339278723,0.0820920809434716,21.0260417095059,0.0125352931428534,59.7357143937892,2.48359056902217,-2.73208185474381,0.00629355027853014,NA,-0.478643344309117,-0.327320182556058,0.000351516996025889,0.0105078470956538,0.236312604696112,0.315482716370672,0.36785497806845,"51426536","mouse, laboratory","10090","Ccdc103","73293","MGI:1920543","","","Chr11  cM","Chr11:102772050-102776042(+)","coiled-coil domain containing 103","1700039D13Rik","ENSMUSG00000020930","ENSMUSG00000020930_73293","rat","10116","Dnaaf19","498006","","","","Chr10 q32.1","","dynein axonemal assembly factor 19","Ccdc103|RGD1562370","ENSRNOG00000002905","Dnaaf19","dynein axonemal assembly factor 19","Ccdc103_Dnaaf19"
"Srarp_Srarp",-0.321472052080231,0.0939513309297815,0.00062233901479873,-0.505613277002207,-0.137330827158255,9,10,1,0,0.0382975477738799,3.82302112692348,0.922669793056477,0,1,0.696487250760339,0.486123738792221,NA,-0.353328369267414,-0.272582930735937,0.000335181167069609,0.00712811348450947,0.12714851340549,1,1,"51444721","mouse, laboratory","10090","Srarp","277744","MGI:2685540","","","Chr4  cM","Chr4:141159983-141163416(-)","steroid receptor associated and regulated protein","Gm694|LOC277744","ENSMUSG00000070637","ENSMUSG00000070637_277744","rat","10116","Srarp","298602","","","","Chr5 q36","","steroid receptor associated and regulated protein","RGD1566083","ENSRNOG00000054155","Srarp","steroid receptor associated and regulated protein","Srarp_Srarp"
"Il23a_Il23a",-0.415078808544272,0.14249017480671,0.00357934945842844,-0.69435441931624,-0.135803197772304,8,9,1,0,0.0829714690783643,0.747322443046363,0.999396463415852,0,1,-0.359402124389116,0.719294285720307,NA,-0.450636459406579,-0.39806613163512,0.00381426135347571,0.00973715219203952,0.247729583350741,1,1,"51442335","mouse, laboratory","10090","Il23a","83430","MGI:1932410","","","Chr10  cM","Chr10:128132009-128133953(-)","interleukin 23, alpha subunit p19","IL-23|IL-23p19|p19","ENSMUSG00000025383","ENSMUSG00000025383_83430","rat","10116","Il23a","155140","","","","Chr7 q11","","interleukin 23 subunit alpha","","ENSRNOG00000003254","Il23a","interleukin 23 subunit alpha","Il23a_Il23a"
"Efcab15_Efcab15",-0.273078310996743,0.0715019766996397,0.000133900652012253,-0.413219610151459,-0.132937011842027,9,10,1,5.09784488973942e-08,0.0198027448928424,7.66861534152907,0.567855487334038,9.17873079152805e-05,1.00000091787392,-1.61003460605159,0.10739030167578,NA,-0.298539386427626,-0.245662069895669,0.000100020116269437,0.00179148628720668,0.0590794783050313,1,0.848179627043544,"51441785","mouse, laboratory","10090","Efcab15","69441","MGI:1916691","","","Chr11  cM","Chr11:103089770-103099374(-)","EF-hand calcium binding domain 15","1700023F06Rik","ENSMUSG00000020940","ENSMUSG00000020940_69441","rat","10116","Efcab15","100361655","","","","Chr10","","EF-hand calcium binding domain 15","","ENSRNOG00000003275","Efcab15","EF-hand calcium binding domain 15","Efcab15_Efcab15"
"Magix_Magix",-0.738578818558298,0.309419046587552,0.0169871551430483,-1.34502900600062,-0.132128631115975,7,8,1,0.421785455579402,0.389012600003452,21.7147567939709,0.00284448223088804,67.3277488128472,3.06070124850538,-1.64590421767471,0.0997834804799239,NA,-0.877532307494134,-0.552016368572161,9.42565320266062e-06,0.0735726296377731,0.419246244752225,0.113771231212205,0.833865161458894,"51433860","mouse, laboratory","10090","Magix","54634","MGI:1859644","","","ChrX  cM","ChrX:7539405-7547490(-)","MAGI family member, X-linked","Pdzx|Sfc18","ENSMUSG00000031147","ENSMUSG00000031147_54634","rat","10116","Magix","317379","","","","ChrX q12","","MAGI family member, X-linked","","ENSRNOG00000010092","Magix","MAGI family member, X-linked","Magix_Magix"
"Pold2_Pold2",-0.239594346915725,0.0583450743275727,4.01690548424886e-05,-0.35394859127308,-0.12524010255837,9,10,1,0.0132127796101968,0.015484628702416,14.3588668594441,0.11012005027043,40.4236208067215,1.6785175828759,0.438512098224117,0.661015102023351,NA,-0.270693987562164,-0.196929163665264,3.27518208930466e-06,0.000433925247933852,0.0303776040320288,0.900280827891254,1,"51435708","mouse, laboratory","10090","Pold2","18972","MGI:1097163","","","Chr11  cM","Chr11:5822180-5828256(-)","polymerase (DNA directed), delta 2, regulatory subunit","50kDa|p50|po1D2","ENSMUSG00000020471","ENSMUSG00000020471_18972","rat","10116","Pold2","289758","","","","Chr14 q21","","DNA polymerase delta 2, accessory subunit","","ENSRNOG00000014098","Pold2","DNA polymerase delta 2, accessory subunit","Pold2_Pold2"
"Fbln7_Fbln7",-0.438291943790481,0.1602682952148,0.00624297716563899,-0.752412030275122,-0.124171857305841,9,10,1,0,0.103202283407555,5.90338301590209,0.749547862596806,0,1,-1.1431024144962,0.252996071937719,NA,-0.518530823926169,-0.385912085168668,0.00224604399219986,0.023907671553294,0.303946877936748,1,0.969179481748355,"51441915","mouse, laboratory","10090","Fbln7","70370","MGI:1917620","","","Chr2  cM","Chr2:128705791-128738954(+)","fibulin 7","1600015H20Rik","ENSMUSG00000027386","ENSMUSG00000027386_70370","rat","10116","Fbln7","296145","","","","Chr3 q36","","fibulin 7","RGD1310131","ENSRNOG00000017550","Fbln7","fibulin 7","Fbln7_Fbln7"
"Sfrp2_Sfrp2",-0.291661933743675,0.086344546514827,0.000730456668628279,-0.46089413517418,-0.122429732313171,9,10,1,0,0.0307997892013219,6.73888243167078,0.664284437381756,0,1,-1.0147660718343,0.310217350292505,NA,-0.321272390986727,-0.222572420581454,0.00047909906896725,0.0175009641379975,0.134427152283304,1,0.982197068080276,"51430726","mouse, laboratory","10090","Sfrp2","20319","MGI:108078","","","Chr3  cM","Chr3:83673628-83681621(+)","secreted frizzled-related protein 2","Sdf5","ENSMUSG00000027996","ENSMUSG00000027996_20319","rat","10116","Sfrp2","310552","","","","Chr2 q34","","secreted frizzled-related protein 2","","ENSRNOG00000009465","Sfrp2","secreted frizzled-related protein 2","Sfrp2_Sfrp2"
"Tnni2_Tnni2",-0.42057929252287,0.152985724769254,0.00597517194807562,-0.720425803219364,-0.120732781826375,8,9,1,0,0.0952785025378254,2.99699151074183,0.934546202417102,0,1,0.660654398648694,0.508833974368297,NA,-0.455981224209419,-0.370570382804765,0.00453683508813417,0.022836241639046,0.300383277970928,1,1,"51430751","mouse, laboratory","10090","Tnni2","21953","MGI:105070","","","Chr7  cM","Chr7:141995553-141998147(+)","troponin I, skeletal, fast 2","","ENSMUSG00000031097","ENSMUSG00000031097_21953","rat","10116","Tnni2","29389","","","","Chr1 q41","","troponin I2, fast skeletal type","","ENSRNOG00000020276","Tnni2","troponin I2, fast skeletal type","Tnni2_Tnni2"
